date,cloud_cover,sunshine,global_radiation,max_temp,mean_temp,min_temp,precipitation,pressure,snow_depth,year,month_name,weekday,month,season,rain_intensity,dtr,decade,daylight_hours,cloud_hours,sunshine_norm,cloud_cover_norm,precipitation_norm,radiance_score,radiance_percent,radiance_label,radiance_bin,daily_energy_j_per_m2,daily_energy_j,daily_rain_litres
1979-03-15,8,0.0,43.0,1.3,1.8,1.2,3.1,100020.0,0.0,1979,March,Thursday,3,Spring,Moderate Rain,0.10000000000000009,1970,12,12.0,0.0,1.0,0.05016181229773463,0.9498381877022654,31.661272923408845,Gloomy,"(28.676, 33.389]",3715200.0,44582400000000.0,37200000.0
1979-03-16,8,0.0,44.0,6.9,0.7,0.1,11.8,99160.0,0.0,1979,March,Friday,3,Spring,Heavy Rain,6.800000000000001,1970,12,12.0,0.0,1.0,0.19093851132686085,0.8090614886731391,26.968716289104638,Gloomy,"(23.962, 28.676]",3801600.0,45619200000000.0,141600000.0
1979-03-17,5,4.3,116.0,9.1,3.5,0.1,0.3,99460.0,1.0,1979,March,Saturday,3,Spring,Light Rain,9.0,1970,12,7.7,0.26875,0.625,0.004854368932038835,1.6388956310679612,54.629854368932044,Mixed,"(52.242, 56.955]",10022400.0,120268800000000.0,3600000.0
1979-03-18,6,4.4,119.0,6.1,5.1,1.1,0.7,99970.0,0.0,1979,March,Sunday,3,Spring,Light Rain,5.0,1970,12,7.6,0.275,0.75,0.011326860841423947,1.513673139158576,50.455771305285865,Mixed,"(47.529, 52.242]",10281600.0,123379200000000.0,8400000.0
1979-03-19,7,0.2,54.0,11.0,4.2,2.4,1.0,100230.0,0.0,1979,March,Monday,3,Spring,Light Rain,8.6,1970,12,11.8,0.0125,0.875,0.016181229773462785,1.1213187702265373,37.37729234088458,Gloomy,"(33.389, 38.102]",4665600.0,55987200000000.0,12000000.0
1979-03-20,6,4.0,116.0,8.5,7.0,3.0,2.4,99550.0,0.0,1979,March,Tuesday,3,Spring,Light Rain,5.5,1970,12,8.0,0.25,0.75,0.03883495145631068,1.4611650485436893,48.70550161812297,Mixed,"(47.529, 52.242]",10022400.0,120268800000000.0,28800000.0
1979-03-21,4,6.7,149.0,9.6,5.7,2.9,3.3,99490.0,0.0,1979,March,Wednesday,3,Spring,Moderate Rain,6.699999999999999,1970,12,5.3,0.41875,0.5,0.05339805825242718,1.8653519417475728,62.17839805825243,Mixed,"(61.669, 66.382]",12873600.0,154483200000000.0,39600000.0
1979-03-22,4,6.0,143.0,9.2,5.0,0.5,0.1,100520.0,0.0,1979,March,Thursday,3,Spring,Light Rain,8.7,1970,12,6.0,0.375,0.5,0.0016181229773462784,1.8733818770226538,62.44606256742179,Mixed,"(61.669, 66.382]",12355200.0,148262400000000.0,1200000.0
1979-03-23,1,10.7,194.0,11.5,3.1,-3.0,0.0,101660.0,0.0,1979,March,Friday,3,Spring,No Rain,14.5,1970,12,1.3000000000000007,0.66875,0.125,0.0,2.54375,84.79166666666667,Bright,"(80.522, 85.235]",16761600.0,201139200000000.0,0.0
1979-03-24,5,7.0,158.0,15.3,5.0,-1.6,9.1,101330.0,0.0,1979,March,Saturday,3,Spring,Moderate Rain,16.900000000000002,1970,12,5.0,0.4375,0.625,0.14724919093851133,1.6652508090614888,55.50836030204963,Mixed,"(52.242, 56.955]",13651200.0,163814400000000.0,109200000.0
1979-03-25,7,0.7,70.0,8.0,10.2,5.0,0.2,99040.0,0.0,1979,March,Sunday,3,Spring,Light Rain,3.0,1970,12,11.3,0.04375,0.875,0.003236245954692557,1.1655137540453075,38.85045846817692,Gloomy,"(38.102, 42.816]",6048000.0,72576000000000.0,2400000.0
1979-03-26,7,1.4,85.0,11.3,6.2,4.3,5.4,98870.0,0.0,1979,March,Monday,3,Spring,Moderate Rain,7.000000000000001,1970,12,10.6,0.0875,0.875,0.08737864077669903,1.125121359223301,37.50404530744336,Gloomy,"(33.389, 38.102]",7344000.0,88128000000000.0,64800000.00000001
1979-03-27,6,5.8,148.0,8.1,7.2,3.0,4.2,98270.0,0.0,1979,March,Tuesday,3,Spring,Moderate Rain,5.1,1970,12,6.2,0.3625,0.75,0.0679611650485437,1.5445388349514564,51.484627831715216,Mixed,"(47.529, 52.242]",12787200.0,153446400000000.0,50400000.0
1979-03-28,7,3.1,114.0,7.6,4.8,1.4,4.1,98400.0,0.0,1979,March,Wednesday,3,Spring,Moderate Rain,6.199999999999999,1970,12,8.9,0.19375,0.875,0.06634304207119741,1.2524069579288026,41.74689859762675,Mixed,"(38.102, 42.816]",9849600.0,118195200000000.0,49199999.99999999
1979-03-29,8,0.7,74.0,7.6,4.8,1.9,3.3,99540.0,0.0,1979,March,Thursday,3,Spring,Moderate Rain,5.699999999999999,1970,12,11.3,0.04375,1.0,0.05339805825242718,0.9903519417475728,33.011731391585755,Gloomy,"(28.676, 33.389]",6393600.0,76723200000000.0,39600000.0
1979-03-30,8,0.0,53.0,10.6,5.5,3.4,0.7,101330.0,0.0,1979,March,Friday,3,Spring,Light Rain,7.199999999999999,1970,12,12.0,0.0,1.0,0.011326860841423947,0.988673139158576,32.95577130528587,Gloomy,"(28.676, 33.389]",4579200.0,54950400000000.0,8400000.0
